Date,Time,c02,temperature
17/03/2004,17.00.00,134,114
17/03/2004,18.00.00,386,158
17/03/2004,19.00.00,577,194
17/03/2004,20.00.00,523,182
17/03/2004,21.00.00,472,180
17/03/2004,22.00.00,206,136
17/03/2004,23.00.00,216,127
18/03/2004,00.00.00,159,116
18/03/2004,01.00.00,70,107
18/03/2004,02.00.00,44,88
18/03/2004,03.00.00,42,-200
18/03/2004,04.00.00,28,78
18/03/2004,05.00.00,20,57
18/03/2004,06.00.00,26,71
18/03/2004,07.00.00,78,85
18/03/2004,08.00.00,319,124
18/03/2004,09.00.00,506,151
18/03/2004,10.00.00,-200,150
18/03/2004,11.00.00,-200,152
18/03/2004,12.00.00,-200,139
18/03/2004,13.00.00,-200,133
18/03/2004,14.00.00,-200,126
18/03/2004,15.00.00,-200,128
18/03/2004,16.00.00,-200,169
18/03/2004,17.00.00,-200,149
18/03/2004,18.00.00,-200,156
18/03/2004,19.00.00,-200,168
18/03/2004,20.00.00,-200,176
18/03/2004,21.00.00,-200,135
18/03/2004,22.00.00,-200,121
18/03/2004,23.00.00,-200,99
19/03/2004,00.00.00,-200,106
19/03/2004,01.00.00,-200,96
19/03/2004,02.00.00,-200,63
19/03/2004,03.00.00,-200,-200
19/03/2004,04.00.00,-200,32
19/03/2004,05.00.00,-200,28
19/03/2004,06.00.00,-200,61
19/03/2004,07.00.00,-200,99
19/03/2004,08.00.00,-200,157
19/03/2004,09.00.00,-200,166
19/03/2004,10.00.00,-200,149
19/03/2004,11.00.00,-200,135
19/03/2004,12.00.00,-200,127
19/03/2004,13.00.00,-200,122
19/03/2004,14.00.00,-200,135
19/03/2004,15.00.00,-200,139
19/03/2004,16.00.00,-200,147
19/03/2004,17.00.00,-200,158
19/03/2004,18.00.00,-200,146
19/03/2004,19.00.00,-200,144
19/03/2004,20.00.00,-200,138
19/03/2004,21.00.00,-200,143
19/03/2004,22.00.00,-200,116
19/03/2004,23.00.00,-200,109
20/03/2004,00.00.00,-200,92
20/03/2004,01.00.00,-200,83
20/03/2004,02.00.00,-200,81
20/03/2004,03.00.00,-200,-200
20/03/2004,04.00.00,-200,55
20/03/2004,05.00.00,-200,53
20/03/2004,06.00.00,-200,67
20/03/2004,07.00.00,-200,91
20/03/2004,08.00.00,-200,113
20/03/2004,09.00.00,-200,102
20/03/2004,10.00.00,-200,107
20/03/2004,11.00.00,-200,113
20/03/2004,12.00.00,-200,108
20/03/2004,13.00.00,-200,105
20/03/2004,14.00.00,-200,93
20/03/2004,15.00.00,-200,87
20/03/2004,16.00.00,-200,76
20/03/2004,17.00.00,-200,94
20/03/2004,18.00.00,-200,110
20/03/2004,19.00.00,-200,136
20/03/2004,20.00.00,-200,139
20/03/2004,21.00.00,-200,125
20/03/2004,22.00.00,-200,111
20/03/2004,23.00.00,-200,97
21/03/2004,00.00.00,-200,107
21/03/2004,01.00.00,-200,90
21/03/2004,02.00.00,-200,84
21/03/2004,03.00.00,-200,-200
21/03/2004,04.00.00,-200,87
21/03/2004,05.00.00,-200,66
21/03/2004,06.00.00,-200,36
21/03/2004,07.00.00,-200,62
21/03/2004,08.00.00,-200,91
21/03/2004,09.00.00,-200,89
21/03/2004,10.00.00,-200,93
21/03/2004,11.00.00,-200,81
21/03/2004,12.00.00,-200,82
21/03/2004,13.00.00,-200,80
21/03/2004,14.00.00,-200,48
21/03/2004,15.00.00,-200,61
21/03/2004,16.00.00,-200,89
21/03/2004,17.00.00,-200,105
21/03/2004,18.00.00,-200,116
21/03/2004,19.00.00,-200,119
21/03/2004,20.00.00,-200,144
21/03/2004,21.00.00,-200,123
21/03/2004,22.00.00,-200,105
21/03/2004,23.00.00,-200,93
22/03/2004,00.00.00,-200,86
22/03/2004,01.00.00,-200,76
22/03/2004,02.00.00,-200,33
22/03/2004,03.00.00,-200,-200
22/03/2004,04.00.00,-200,27
22/03/2004,05.00.00,-200,23
22/03/2004,06.00.00,-200,46
22/03/2004,07.00.00,-200,76
22/03/2004,08.00.00,-200,116
22/03/2004,09.00.00,-200,115
22/03/2004,10.00.00,-200,83
22/03/2004,11.00.00,-200,87
22/03/2004,12.00.00,-200,90
22/03/2004,13.00.00,-200,87
22/03/2004,14.00.00,-200,99
22/03/2004,15.00.00,-200,99
22/03/2004,16.00.00,451,101
22/03/2004,17.00.00,185,103
22/03/2004,18.00.00,426,129
22/03/2004,19.00.00,672,143
22/03/2004,20.00.00,624,146
22/03/2004,21.00.00,325,124
22/03/2004,22.00.00,143,113
22/03/2004,23.00.00,89,80
23/03/2004,00.00.00,73,72
23/03/2004,01.00.00,48,64
23/03/2004,02.00.00,47,70
23/03/2004,03.00.00,36,-200
23/03/2004,04.00.00,25,31
23/03/2004,05.00.00,19,22
23/03/2004,06.00.00,26,47
23/03/2004,07.00.00,60,88
23/03/2004,08.00.00,248,130
23/03/2004,09.00.00,535,132
23/03/2004,10.00.00,340,132
23/03/2004,11.00.00,325,131
23/03/2004,12.00.00,267,129
23/03/2004,13.00.00,325,132
23/03/2004,14.00.00,268,110
23/03/2004,15.00.00,136,99
23/03/2004,16.00.00,118,100
23/03/2004,17.00.00,276,122
23/03/2004,18.00.00,151,97
23/03/2004,19.00.00,236,112
23/03/2004,20.00.00,220,128
23/03/2004,21.00.00,87,101
23/03/2004,22.00.00,81,96
23/03/2004,23.00.00,74,86
24/03/2004,00.00.00,55,85
24/03/2004,01.00.00,74,79
24/03/2004,02.00.00,35,61
24/03/2004,03.00.00,29,-200
24/03/2004,04.00.00,29,66
24/03/2004,05.00.00,20,54
24/03/2004,06.00.00,32,57
24/03/2004,07.00.00,84,75
24/03/2004,08.00.00,245,97
24/03/2004,09.00.00,553,110
24/03/2004,10.00.00,450,113
24/03/2004,11.00.00,118,88
24/03/2004,12.00.00,118,85
24/03/2004,13.00.00,144,96
24/03/2004,14.00.00,159,106
24/03/2004,15.00.00,122,91
24/03/2004,16.00.00,230,126
24/03/2004,17.00.00,320,130
24/03/2004,18.00.00,263,111
24/03/2004,19.00.00,556,134
24/03/2004,20.00.00,458,136
24/03/2004,21.00.00,214,125
24/03/2004,22.00.00,97,108
24/03/2004,23.00.00,79,87
25/03/2004,00.00.00,81,89
25/03/2004,01.00.00,52,58
25/03/2004,02.00.00,38,54
25/03/2004,03.00.00,35,-200
25/03/2004,04.00.00,29,28
25/03/2004,05.00.00,21,20
25/03/2004,06.00.00,46,51
25/03/2004,07.00.00,55,82
25/03/2004,08.00.00,271,112
25/03/2004,09.00.00,434,119
25/03/2004,10.00.00,300,99
25/03/2004,11.00.00,116,98
25/03/2004,12.00.00,95,88
25/03/2004,13.00.00,211,96
25/03/2004,14.00.00,168,81
25/03/2004,15.00.00,154,92
25/03/2004,16.00.00,267,105
25/03/2004,17.00.00,143,88
25/03/2004,18.00.00,374,103
25/03/2004,19.00.00,797,141
25/03/2004,20.00.00,698,133
25/03/2004,21.00.00,234,119
25/03/2004,22.00.00,104,106
25/03/2004,23.00.00,67,92
26/03/2004,00.00.00,88,97
26/03/2004,01.00.00,79,91
26/03/2004,02.00.00,61,83
26/03/2004,03.00.00,43,-200
26/03/2004,04.00.00,40,59
26/03/2004,05.00.00,52,73
26/03/2004,06.00.00,64,78
26/03/2004,07.00.00,88,90
26/03/2004,08.00.00,375,110
26/03/2004,09.00.00,592,114
26/03/2004,10.00.00,357,119
26/03/2004,11.00.00,296,121
26/03/2004,12.00.00,181,97
26/03/2004,13.00.00,211,99
26/03/2004,14.00.00,199,85
26/03/2004,15.00.00,81,75
26/03/2004,16.00.00,143,87
26/03/2004,17.00.00,247,102
26/03/2004,18.00.00,239,105
26/03/2004,19.00.00,267,98
26/03/2004,20.00.00,261,93
26/03/2004,21.00.00,97,91
26/03/2004,22.00.00,66,85
26/03/2004,23.00.00,60,74
27/03/2004,00.00.00,77,87
27/03/2004,01.00.00,57,79
27/03/2004,02.00.00,65,78
27/03/2004,03.00.00,59,-200
27/03/2004,04.00.00,48,63
27/03/2004,05.00.00,27,48
27/03/2004,06.00.00,25,59
27/03/2004,07.00.00,42,65
27/03/2004,08.00.00,78,71
27/03/2004,09.00.00,128,84
27/03/2004,10.00.00,184,93
27/03/2004,11.00.00,156,99
27/03/2004,12.00.00,176,93
27/03/2004,13.00.00,232,96
27/03/2004,14.00.00,305,114
27/03/2004,15.00.00,150,101
27/03/2004,16.00.00,188,108
27/03/2004,17.00.00,221,117
27/03/2004,18.00.00,219,125
27/03/2004,19.00.00,306,133
27/03/2004,20.00.00,270,119
27/03/2004,21.00.00,231,107
27/03/2004,22.00.00,125,96
27/03/2004,23.00.00,122,105
28/03/2004,00.00.00,161,102
28/03/2004,01.00.00,101,97
28/03/2004,02.00.00,95,79
28/03/2004,03.00.00,129,-200
28/03/2004,04.00.00,96,69
28/03/2004,05.00.00,54,52
28/03/2004,06.00.00,63,62
28/03/2004,07.00.00,72,69
28/03/2004,08.00.00,91,75
28/03/2004,09.00.00,127,83
28/03/2004,10.00.00,193,94
28/03/2004,11.00.00,188,96
28/03/2004,12.00.00,151,86
28/03/2004,13.00.00,103,72
28/03/2004,14.00.00,55,53
28/03/2004,15.00.00,104,65
28/03/2004,16.00.00,116,70
28/03/2004,17.00.00,93,75
28/03/2004,18.00.00,93,86
28/03/2004,19.00.00,155,94
28/03/2004,20.00.00,115,103
28/03/2004,21.00.00,75,81
28/03/2004,22.00.00,65,80
28/03/2004,23.00.00,57,77
29/03/2004,00.00.00,40,58
29/03/2004,01.00.00,27,31
29/03/2004,02.00.00,23,38
29/03/2004,03.00.00,28,-200
29/03/2004,04.00.00,21,59
29/03/2004,05.00.00,33,70
29/03/2004,06.00.00,40,75
29/03/2004,07.00.00,279,103
29/03/2004,08.00.00,743,134
29/03/2004,09.00.00,147,98
29/03/2004,10.00.00,97,97
29/03/2004,11.00.00,118,98
29/03/2004,12.00.00,91,78
29/03/2004,13.00.00,146,83
29/03/2004,14.00.00,139,92
29/03/2004,15.00.00,155,81
29/03/2004,16.00.00,128,90
29/03/2004,17.00.00,166,95
29/03/2004,18.00.00,299,114
29/03/2004,19.00.00,163,106
29/03/2004,20.00.00,154,99
29/03/2004,21.00.00,80,90
29/03/2004,22.00.00,58,82
29/03/2004,23.00.00,55,74
30/03/2004,00.00.00,33,76
30/03/2004,01.00.00,33,66
30/03/2004,02.00.00,32,73
30/03/2004,03.00.00,25,-200
30/03/2004,04.00.00,29,69
30/03/2004,05.00.00,26,71
30/03/2004,06.00.00,86,98
30/03/2004,07.00.00,294,115
30/03/2004,08.00.00,664,130
30/03/2004,09.00.00,695,150
30/03/2004,10.00.00,735,159
30/03/2004,11.00.00,649,146
30/03/2004,12.00.00,586,138
30/03/2004,13.00.00,546,128
30/03/2004,14.00.00,245,97
30/03/2004,15.00.00,178,91
30/03/2004,16.00.00,130,81
30/03/2004,17.00.00,151,99
30/03/2004,18.00.00,272,101
30/03/2004,19.00.00,301,106
30/03/2004,20.00.00,237,102
30/03/2004,21.00.00,95,84
30/03/2004,22.00.00,68,81
30/03/2004,23.00.00,101,91
31/03/2004,00.00.00,81,82
31/03/2004,01.00.00,50,64
31/03/2004,02.00.00,66,70
31/03/2004,03.00.00,22,-200
31/03/2004,04.00.00,18,26
31/03/2004,05.00.00,31,58
31/03/2004,06.00.00,57,93
31/03/2004,07.00.00,342,110
31/03/2004,08.00.00,644,115
31/03/2004,09.00.00,216,125
31/03/2004,10.00.00,117,118
31/03/2004,11.00.00,156,109
31/03/2004,12.00.00,332,123
31/03/2004,13.00.00,232,114
31/03/2004,14.00.00,295,114
31/03/2004,15.00.00,386,119
31/03/2004,16.00.00,278,111
31/03/2004,17.00.00,263,103
31/03/2004,18.00.00,322,103
31/03/2004,19.00.00,226,107
31/03/2004,20.00.00,221,105
31/03/2004,21.00.00,109,91
31/03/2004,22.00.00,105,79
31/03/2004,23.00.00,84,79
1/4/2004,00.00.00,106,86
1/4/2004,01.00.00,100,70
1/4/2004,02.00.00,71,55
1/4/2004,03.00.00,72,-200
1/4/2004,04.00.00,44,49
1/4/2004,05.00.00,45,50
1/4/2004,06.00.00,134,67
1/4/2004,07.00.00,505,94
1/4/2004,08.00.00,1042,119
1/4/2004,09.00.00,737,139
1/4/2004,10.00.00,375,113
1/4/2004,11.00.00,124,88
1/4/2004,12.00.00,137,73
1/4/2004,13.00.00,179,73
1/4/2004,14.00.00,222,72
1/4/2004,15.00.00,197,81
1/4/2004,16.00.00,319,93
1/4/2004,17.00.00,388,106
1/4/2004,18.00.00,589,132
1/4/2004,19.00.00,840,164
1/4/2004,20.00.00,655,161
1/4/2004,21.00.00,254,124
1/4/2004,22.00.00,188,113
1/4/2004,23.00.00,120,103
2/4/2004,00.00.00,157,104
2/4/2004,01.00.00,88,93
2/4/2004,02.00.00,68,60
2/4/2004,03.00.00,57,-200
2/4/2004,04.00.00,36,52
2/4/2004,05.00.00,51,66
2/4/2004,06.00.00,93,82
2/4/2004,07.00.00,284,109
2/4/2004,08.00.00,486,114
2/4/2004,09.00.00,798,139
2/4/2004,10.00.00,524,127
2/4/2004,11.00.00,468,127
2/4/2004,12.00.00,454,135
2/4/2004,13.00.00,461,130
2/4/2004,14.00.00,391,126
2/4/2004,15.00.00,337,121
2/4/2004,16.00.00,297,122
2/4/2004,17.00.00,588,138
2/4/2004,18.00.00,721,165
2/4/2004,19.00.00,710,154
2/4/2004,20.00.00,787,168
2/4/2004,21.00.00,415,146
2/4/2004,22.00.00,245,124
2/4/2004,23.00.00,294,124
3/4/2004,00.00.00,139,106
3/4/2004,01.00.00,98,88
3/4/2004,02.00.00,88,83
3/4/2004,03.00.00,66,-200
3/4/2004,04.00.00,57,74
3/4/2004,05.00.00,57,64
3/4/2004,06.00.00,60,69
3/4/2004,07.00.00,200,91
3/4/2004,08.00.00,451,96
3/4/2004,09.00.00,422,106
3/4/2004,10.00.00,-200,-200
3/4/2004,11.00.00,-200,-200
3/4/2004,12.00.00,-200,-200
3/4/2004,13.00.00,-200,-200
3/4/2004,14.00.00,-200,-200
3/4/2004,15.00.00,-200,-200
3/4/2004,16.00.00,-200,-200
3/4/2004,17.00.00,-200,-200
3/4/2004,18.00.00,-200,-200
3/4/2004,19.00.00,-200,-200
3/4/2004,20.00.00,-200,-200
3/4/2004,21.00.00,-200,-200
3/4/2004,22.00.00,-200,-200
3/4/2004,23.00.00,-200,-200
4/4/2004,00.00.00,-200,-200
4/4/2004,01.00.00,-200,-200
4/4/2004,02.00.00,-200,-200
4/4/2004,03.00.00,-200,-200
4/4/2004,04.00.00,-200,-200
4/4/2004,05.00.00,-200,-200
4/4/2004,06.00.00,-200,-200
4/4/2004,07.00.00,-200,-200
4/4/2004,08.00.00,-200,-200
4/4/2004,09.00.00,-200,-200
4/4/2004,10.00.00,-200,-200
4/4/2004,11.00.00,-200,-200
4/4/2004,12.00.00,-200,-200
4/4/2004,13.00.00,-200,-200
4/4/2004,14.00.00,-200,-200
4/4/2004,15.00.00,-200,-200
4/4/2004,16.00.00,-200,-200
4/4/2004,17.00.00,-200,-200
4/4/2004,18.00.00,-200,-200
4/4/2004,19.00.00,-200,-200
4/4/2004,20.00.00,-200,-200
4/4/2004,21.00.00,-200,-200
4/4/2004,22.00.00,-200,-200
4/4/2004,23.00.00,-200,-200
5/4/2004,00.00.00,-200,-200
5/4/2004,01.00.00,-200,-200
5/4/2004,02.00.00,-200,-200
5/4/2004,03.00.00,-200,-200
5/4/2004,04.00.00,-200,-200
5/4/2004,05.00.00,-200,-200
5/4/2004,06.00.00,-200,-200
5/4/2004,07.00.00,-200,-200
5/4/2004,08.00.00,-200,-200
5/4/2004,09.00.00,-200,-200
5/4/2004,10.00.00,424,124
5/4/2004,11.00.00,339,121
5/4/2004,12.00.00,445,114
5/4/2004,13.00.00,535,114
5/4/2004,14.00.00,278,106
5/4/2004,15.00.00,256,89
5/4/2004,16.00.00,245,82
5/4/2004,17.00.00,458,111
5/4/2004,18.00.00,710,132
5/4/2004,19.00.00,678,121
5/4/2004,20.00.00,436,116
5/4/2004,21.00.00,178,100
5/4/2004,22.00.00,160,89
5/4/2004,23.00.00,177,92
6/4/2004,00.00.00,101,71
6/4/2004,01.00.00,66,51
6/4/2004,02.00.00,40,39
6/4/2004,03.00.00,54,-200
6/4/2004,04.00.00,39,35
6/4/2004,05.00.00,62,64
6/4/2004,06.00.00,120,94
6/4/2004,07.00.00,599,134
6/4/2004,08.00.00,1084,129
6/4/2004,09.00.00,776,125
6/4/2004,10.00.00,470,107
6/4/2004,11.00.00,169,78
6/4/2004,12.00.00,304,91
6/4/2004,13.00.00,405,116
6/4/2004,14.00.00,297,131
6/4/2004,15.00.00,220,113
6/4/2004,16.00.00,226,98
6/4/2004,17.00.00,456,116
6/4/2004,18.00.00,470,120
6/4/2004,19.00.00,503,126
6/4/2004,20.00.00,459,126
6/4/2004,21.00.00,227,90
6/4/2004,22.00.00,152,81
6/4/2004,23.00.00,94,74
7/4/2004,00.00.00,93,67
7/4/2004,01.00.00,49,46
7/4/2004,02.00.00,30,30
7/4/2004,03.00.00,30,-200
7/4/2004,04.00.00,30,19
7/4/2004,05.00.00,32,32
7/4/2004,06.00.00,59,61
7/4/2004,07.00.00,277,111
7/4/2004,08.00.00,454,102
7/4/2004,09.00.00,211,116
7/4/2004,10.00.00,196,96
7/4/2004,11.00.00,110,97
7/4/2004,12.00.00,164,110
7/4/2004,13.00.00,151,103
7/4/2004,14.00.00,112,79
7/4/2004,15.00.00,117,104
7/4/2004,16.00.00,120,69
7/4/2004,17.00.00,251,96
7/4/2004,18.00.00,435,121
7/4/2004,19.00.00,345,129
7/4/2004,20.00.00,343,116
7/4/2004,21.00.00,62,71
7/4/2004,22.00.00,70,85
7/4/2004,23.00.00,114,101
8/4/2004,00.00.00,88,97
8/4/2004,01.00.00,95,89
8/4/2004,02.00.00,83,72
8/4/2004,03.00.00,63,-200
8/4/2004,04.00.00,38,57
8/4/2004,05.00.00,68,62
8/4/2004,06.00.00,59,64
8/4/2004,07.00.00,226,80
8/4/2004,08.00.00,802,118
8/4/2004,09.00.00,585,130
8/4/2004,10.00.00,324,113
8/4/2004,11.00.00,308,112
8/4/2004,12.00.00,238,96
8/4/2004,13.00.00,301,125
8/4/2004,14.00.00,294,128
8/4/2004,15.00.00,353,101
8/4/2004,16.00.00,209,95
8/4/2004,17.00.00,538,138
8/4/2004,18.00.00,808,154
8/4/2004,19.00.00,974,171
8/4/2004,20.00.00,544,136
8/4/2004,21.00.00,138,93
8/4/2004,22.00.00,92,99
8/4/2004,23.00.00,137,106
9/4/2004,00.00.00,189,109
9/4/2004,01.00.00,159,97
9/4/2004,02.00.00,80,83
9/4/2004,03.00.00,66,-200
9/4/2004,04.00.00,87,79
9/4/2004,05.00.00,79,84
9/4/2004,06.00.00,150,86
9/4/2004,07.00.00,196,111
9/4/2004,08.00.00,299,117
9/4/2004,09.00.00,254,122
9/4/2004,10.00.00,226,119
9/4/2004,11.00.00,262,121
9/4/2004,12.00.00,505,127
9/4/2004,13.00.00,512,135
9/4/2004,14.00.00,159,119
9/4/2004,15.00.00,337,137
9/4/2004,16.00.00,357,139
9/4/2004,17.00.00,194,117
9/4/2004,18.00.00,278,127
9/4/2004,19.00.00,303,137
9/4/2004,20.00.00,234,127
9/4/2004,21.00.00,128,107
9/4/2004,22.00.00,160,102
9/4/2004,23.00.00,169,95
10/4/2004,00.00.00,77,79
10/4/2004,01.00.00,98,78
10/4/2004,02.00.00,102,75
10/4/2004,03.00.00,65,-200
10/4/2004,04.00.00,69,52
10/4/2004,05.00.00,89,55
10/4/2004,06.00.00,134,65
10/4/2004,07.00.00,157,72
10/4/2004,08.00.00,167,76
10/4/2004,09.00.00,157,84
10/4/2004,10.00.00,172,90
10/4/2004,11.00.00,114,89
10/4/2004,12.00.00,166,87
10/4/2004,13.00.00,94,88
10/4/2004,14.00.00,108,81
10/4/2004,15.00.00,98,89
10/4/2004,16.00.00,132,91
10/4/2004,17.00.00,144,104
10/4/2004,18.00.00,165,111
10/4/2004,19.00.00,210,129
10/4/2004,20.00.00,277,133
10/4/2004,21.00.00,168,115
10/4/2004,22.00.00,248,125
10/4/2004,23.00.00,235,117
11/4/2004,00.00.00,84,84
11/4/2004,01.00.00,75,63
11/4/2004,02.00.00,62,68
11/4/2004,03.00.00,66,-200
11/4/2004,04.00.00,49,52
11/4/2004,05.00.00,38,49
11/4/2004,06.00.00,44,49
11/4/2004,07.00.00,60,52
11/4/2004,08.00.00,88,58
11/4/2004,09.00.00,70,51
11/4/2004,10.00.00,94,77
11/4/2004,11.00.00,126,90
11/4/2004,12.00.00,181,118
11/4/2004,13.00.00,66,70
11/4/2004,14.00.00,54,35
11/4/2004,15.00.00,48,46
11/4/2004,16.00.00,66,58
11/4/2004,17.00.00,65,61
11/4/2004,18.00.00,68,80
11/4/2004,19.00.00,118,93
11/4/2004,20.00.00,65,78
11/4/2004,21.00.00,63,76
11/4/2004,22.00.00,61,74
11/4/2004,23.00.00,63,81
12/4/2004,00.00.00,31,58
12/4/2004,01.00.00,29,59
12/4/2004,02.00.00,34,54
12/4/2004,03.00.00,34,-200
12/4/2004,04.00.00,9,25
12/4/2004,05.00.00,14,26
12/4/2004,06.00.00,23,49
12/4/2004,07.00.00,36,53
12/4/2004,08.00.00,39,57
12/4/2004,09.00.00,38,73
12/4/2004,10.00.00,55,78
12/4/2004,11.00.00,75,93
12/4/2004,12.00.00,64,71
12/4/2004,13.00.00,39,56
12/4/2004,14.00.00,42,60
12/4/2004,15.00.00,78,77
12/4/2004,16.00.00,69,82
12/4/2004,17.00.00,67,77
12/4/2004,18.00.00,83,91
12/4/2004,19.00.00,79,93
12/4/2004,20.00.00,68,82
12/4/2004,21.00.00,56,74
12/4/2004,22.00.00,49,68
12/4/2004,23.00.00,56,65
13/04/2004,00.00.00,48,58
13/04/2004,01.00.00,27,36
13/04/2004,02.00.00,29,29
13/04/2004,03.00.00,32,-200
13/04/2004,04.00.00,47,28
13/04/2004,05.00.00,66,68
13/04/2004,06.00.00,163,99
13/04/2004,07.00.00,524,130
13/04/2004,08.00.00,657,128
13/04/2004,09.00.00,324,120
